year,county,d_votes,r_votes
2021,Atlantic,35736,44977
2021,Bergen,145150,129644
2021,Burlington,82877,71772
2021,Camden,92162,56016
2021,Cape May,14183,24260
2021,Cumberland,13978,17794
2021,Essex,132520,45542
2021,Gloucester,44959,54976
2021,Hudson,88066,30443
2021,Hunterdon,22820,33459
2021,Mercer,66151,34617
2021,Middlesex,116352,90297
2021,Monmouth,96664,141100
2021,Morris,81915,102769
2021,Ocean,68615,145756
2021,Passaic,57812,53551
2021,Salem,6893,12620
2021,Somerset,58585,54264
2021,Sussex,17346,36310
2021,Union,83913,51279
2021,Warren,12774,23739
2025,Atlantic,49599,46876
2025,Bergen,190461,152682
2025,Burlington,116774,75342
2025,Camden,130737,60120
2025,Cape May,18270,25588
2025,Cumberland,21348,19272
2025,Essex,188681,55503
2025,Gloucester,67066,61265
2025,Hudson,127181,41021
2025,Hunterdon,31663,34683
2025,Mercer,91713,36156
2025,Middlesex,174038,101830
2025,Monmouth,131484,154166
2025,Morris,116488,111422
2025,Ocean,90323,185957
2025,Passaic,86053,61966
2025,Salem,9782,13281
2025,Somerset,83355,56095
2025,Sussex,26308,38118
2025,Union,124470,59646
2025,Warren,19199,25980
